Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,2.4 Crore,12631,Super Built Up Area,3,3,8,1 to 5 Year,Ready To Move,1900,Manpada Thane,240,19.2353185,72.9759496,2823.529412
Legend 1 Pramila Nagar ,Dahisar West Mumbai,95 Lac,15966,Super Built Up Area,1,2,3,10+ Year,Ready To Move,595,Dahisar Mumbai,95,19.0648226,72.8373616,1117.647059
Varun Garden ,Manpada Thane Mumbai,2.2 Crore,14666,Super Built Up Area,3,3,7,5 to 10 Year,Ready To Move,1500,Manpada Thane,220,19.2353185,72.9759496,2588.235294
Green Court ,702 Andheri West Mumbai,2.75 Crore,34810,Built Up Area,2,2,7,5 to 10 Year,Ready To Move,1200,Andheri Mumbai,275,19.1172495,72.833968,3235.294118
Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,70 Lac,11111,Carpet Area,2,2,5,10+ Year,Ready To Move,630,Kalamboli Navi-Mumbai,70,19.0235062,73.11060919,823.5294118
Unnamed Property,402 Malad West Mumbai,2.75 Crore,34810,Carpet Area,3,3,4,10+ Year,Ready To Move,790,Malad Mumbai,275,19.1840129,72.8412155,3235.294118
Unnamed Property,Goregaon West Mumbai,2.25 Crore,26041,Built Up Area,2,2,7,10+ Year,Ready To Move,864,Goregaon Mumbai,225,19.1633281,72.8411995,2647.058824
Unnamed Property,Ulwe Navi Mumbai Mumbai,78 Lac,8705,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,896,Ulwe Navi-Mumbai,78,18.97686135,73.02013111,917.6470588
Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,1.25 Crore,18656,Built Up Area,2,2,5,1 to 5 Year,Ready To Move,670,Estate Thane,125,19.2099361,72.9615435,1470.588235
Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,1.35 Crore,14062,Built Up Area,2,2,3,10+ Year,Ready To Move,960,Koparkhairane Navi-Mumbai,135,19.1058398,72.999981,1588.235294
